geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-4.7873074 37.8848067),Sercotel Córdoba Medina Azahara,,,,,3,,Sercotel,,,,,,Avenida Medina Azahara,7,14005,-4.7873074,37.8848067
POINT (-4.7822962 37.8776696),Mártires,,platform,,bus_stop,,,,,,,,,,,,-4.7822962,37.8776696
POINT (-4.7525026 37.8929067),Fidiana,,platform,,platform,,,,,,,,,,,,-4.7525026,37.8929067
POINT (-4.7774413 37.8745564),,,platform,,bus_stop,,,,,,,,,,,,-4.7774413,37.8745564
POINT (-4.7839277 37.8855245),Hotel Riviera,,,,,2,wlan,,,,29,,,Plaza de Alarderos,3,14008,-4.7839277,37.8855245
POINT (-4.913884 37.9350828),Llanos de Arjona,,stop_position,,,,,,Aucorsa,,,,,,,,-4.913884,37.9350828
POINT (-4.909895 37.9339387),,,stop_position,,bus_stop,,,,Aucorsa,,,,,,,,-4.909895,37.9339387
POINT (-4.7845375 37.8843028),China Town,restaurant,,,,,wlan,,,chinese,,,,Paseo de la Victoria,23,14004,-4.7845375,37.8843028
POINT (-4.8109899 37.8953956),José Aguilar de Dios 2ª,,platform,,bus_stop,,,,,,,,,,,,-4.8109899,37.8953956
POINT (-4.8113439 37.8927462),José Aguilar de Dios,,platform,,bus_stop,,,,,,,,,,,,-4.8113439,37.8927462
POINT (-4.7989422 37.8679015),Hospital Reina Sofía,,platform,,bus_stop,,,,,,,,,,,,-4.7989422,37.8679015
POINT (-4.7834175 37.8845212),Crash Cómics,,,,,,no,,,,,"Mo-Fr 10:30-13:45,17:30-20:45; Sa 11:00-14:00,17:30-20:30",yes,Duque de Fernán Nuñez,2,,-4.7834175,37.8845212
POINT (-4.8005934 37.8755497),,,platform,,bus_stop,,,,,,,,,,,,-4.8005934,37.8755497
POINT (-4.8211372 37.8809958),Las Palmeras,,platform,,bus_stop,,,,,,,,,,,,-4.8211372,37.8809958
POINT (-4.8184444 37.8744321),Parque Joyero,,platform,,bus_stop,,,,,,,,,,,,-4.8184444,37.8744321
POINT (-4.7871897 37.8579364),Libertador Andrés de Santa Cruz,,platform,,bus_stop,,,,,,,,,,,,-4.7871897,37.8579364
