geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-5.9792462 37.3780989),Apeadero San Bernardo,,stop_position,,,,,,,,,,,,,,-5.9792462,37.3780989
POINT (-5.979299 37.3781151),Apeadero San Bernardo,,platform,,,,,,TUSSAM,,,,,,,,-5.979299,37.3781151
POINT (-5.9793411 37.3781341),Apeadero San Bernardo,,stop_position,,,,,,,,,,,,,,-5.9793411,37.3781341
POINT (-5.9793839 37.3781428),Apeadero San Bernardo,,platform,,bus_stop,,,,TUSSAM,,,,,,,,-5.9793839,37.3781428
POINT (-5.9794282 37.3781631),Apeadero San Bernardo,,stop_position,,,,,,,,,,,,,,-5.9794282,37.3781631
POINT (-5.9794677 37.3781701),Apeadero San Bernardo,,platform,,bus_stop,,,,TUSSAM,,,,,,,,-5.9794677,37.3781701
POINT (-5.9795114 37.3781907),Apeadero San Bernardo,,stop_position,,,,,,,,,,,,,,-5.9795114,37.3781907
POINT (-5.9795539 37.3781982),Apeadero San Bernardo,,platform,,bus_stop,,,,TUSSAM,,,,,,,,-5.9795539,37.3781982
POINT (-5.9795929 37.3782177),Apeadero San Bernardo,,stop_position,,,,,,,,,,,,,,-5.9795929,37.3782177
POINT (-5.9796383 37.3782258),Apeadero San Bernardo,,platform,,,,,,TUSSAM,,,,,,,,-5.9796383,37.3782258
POINT (-5.9496004 37.3658186),Águila Perdicera (Barriada La Música),,stop_position,,,,,,,,,,,,,,-5.9496004,37.3658186
POINT (-5.9306405 37.385842),Autovía de Málaga (La negrilla),,platform,,bus_stop,,,,tussam,,,,,,,,-5.9306405,37.385842
