geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,madrid_hdbscan_5_5
POINT (-3.7113507 40.4058987),Salsería II,,bar,,,,,,,,,,,-3.7113507,40.4058987,-413148,4497985,salsería ii,973
POINT (-3.7088264 40.403472),Cut & Style,hairdresser,,,,,,,,,,,,-3.7088264,40.403472,-412867,4497715,cut & style,974
POINT (-3.6993496 40.4107052),Nomade Cafe,,cafe,,,,,Calle de los Tres Peces,22,28012,,,,-3.6993496,40.4107052,-411812,4498520,nomade cafe,1169
POINT (-3.7019603 40.4563365),Lods Bar & Tapas,,pub,,,,,,,,,,,-3.7019603,40.4563365,-412102,4503599,lods bar & tapas,918
POINT (-3.7056153 40.4219441),Home Burger Bar,,restaurant,,,,,Calle de Silva,25,28004,,,burger,-3.7056153,40.4219441,-412509,4499771,home burger bar,1328
POINT (-3.7061785 40.4224624),,vacant,pub,,,,,Calle de la Luna,22,28004,,,,-3.7061785,40.4224624,-412572,4499829,,1328
POINT (-3.6544827 40.4863379),Frutería Estela,greengrocer,,,,,,,,,,,,-3.6544827,40.4863379,-406817,4506939,frutería estela,108
POINT (-3.6556726 40.4864192),Dragón,convenience,,,,,,,,,,,,-3.6556726,40.4864192,-406949,4506948,dragón,108
POINT (-3.6545488 40.4864093),La Miga,bakery,,,,,,,,,,,,-3.6545488,40.4864093,-406824,4506947,la miga,108
POINT (-3.7029605 40.417202),Vodafone,mobile_phone,,,,,,,,,Vodafone,,,-3.7029605,40.417202,-412214,4499243,vodafone,1276
POINT (-3.6602693 40.3738504),Biblioteca Pública Municipal Pozo del Tío Raimundo,,library,,,,,,,,,,,-3.6602693,40.3738504,-407461,4494417,biblioteca pública municipal pozo del tío raimundo,133
POINT (-3.7080915 40.3939933),Caixabank,,bank,,,,,Calle de Antonio López,80,28019,Caixabank,Caixabank,,-3.7080915,40.3939933,-412785,4496659,caixabank,564
POINT (-3.7027143 40.454167),Inside,clothes,,,,,,,,,Inside,,,-3.7027143,40.454167,-412186,4503358,inside,928
POINT (-3.7025933 40.4545863),Tien 21,electronics,,,,,,,,,,,,-3.7025933,40.4545863,-412173,4503405,tien 21,928
POINT (-3.7026562 40.4543879),Servired,,atm,,,,,,,,,Bankia,,-3.7026562,40.4543879,-412180,4503382,servired,928
POINT (-3.7026646 40.4543545),Servired,,atm,,,,,,,,,Bankia,,-3.7026646,40.4543545,-412181,4503379,servired,928
POINT (-3.7058077 40.4221166),La Rayúa,,restaurant,,,,,Calle de la Luna,3,28004,,,regional,-3.7058077,40.4221166,-412531,4499790,la rayúa,1328
POINT (-3.7057144 40.4221339),Chun Li dumpling house,,restaurant,,,,,Calle de la Luna,12,28004,,,chinese,-3.7057144,40.4221339,-412520,4499792,chun li dumpling house,1328
POINT (-3.6798409 40.4373416),Café & Té,,restaurant,,,,,Calle de María de Molina,56,28006,,,,-3.6798409,40.4373416,-409640,4501485,café & té,784
POINT (-3.6794401 40.4373325),Lunch&Dinner,,fast_food,,,,,Calle de María de Molina,58,28006,,,,-3.6794401,40.4373325,-409595,4501484,lunch&dinner,784
POINT (-3.6796645 40.4378207),Gas Natural Fenosa,,,,,company,,Calle de María de Molina,,28006,,,,-3.6796645,40.4378207,-409620,4501538,gas natural fenosa,784
POINT (-3.6800893 40.4376647),Ogilvy,,,,,company,,Calle de María de Molina,,28006,,,,-3.6800893,40.4376647,-409668,4501521,ogilvy,784
POINT (-3.7062159 40.4223767),Las Modistillas,fabric,,,,,,Calle de la Luna,11,28004,,,,-3.7062159,40.4223767,-412576,4499819,las modistillas,1328
POINT (-3.7031985 40.4447738),La Gran Tasca,,restaurant,,,,,Calle de Santa Engracia,161,28003,,,spanish,-3.7031985,40.4447738,-412240,4502312,la gran tasca,844
POINT (-3.706293 40.4224191),Metrópolis,books,,,,,,Calle de la Luna,11,28004,,,,-3.706293,40.4224191,-412585,4499824,metrópolis,1328
POINT (-3.706284 40.4225192),,vacant,,,,,,Calle de la Luna,22,28004,,,,-3.706284,40.4225192,-412584,4499835,,1328
