geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,madrid_hdbscan_5_5
POINT (-3.712458 40.4730675),Madrid es la Corte,,pub,,,,,,,,,,,-3.712458,40.4730675,-413271,4505462,madrid es la corte,449
POINT (-3.76271 40.3908698),AlucheGraffiti,art,,,,,,,,,,,,-3.76271,40.3908698,-418865,4496312,aluchegraffiti,266
POINT (-3.6883418 40.4204147),,tobacco,,,,,,,,,,,,-3.6883418,40.4204147,-410586,4499601,,913
POINT (-3.6881487 40.4205566),BBVA,,bank,,,,,Plaza de la Independencia,5,28001,BBVA,,,-3.6881487,40.4205566,-410565,4499616,bbva,913
POINT (-3.6880723 40.4210936),La Vanduca,,restaurant,,,,,Calle de Serrano,2,28001,,,,-3.6880723,40.4210936,-410556,4499676,la vanduca,913
POINT (-3.6888032 40.4208179),Sushi Shop,,fast_food,,,,,Calle de Serrano,1,28001,Sushi Shop,,sushi,-3.6888032,40.4208179,-410638,4499645,sushi shop,913
POINT (-3.6887831 40.4210038),Superdry,clothes,,,,,,Calle de Serrano,3,28001,Superdry,,,-3.6887831,40.4210038,-410635,4499666,superdry,913
POINT (-3.6883391 40.4210722),Hästens,interior_decoration,,,,,,Calle de Serrano,4,28001,,,,-3.6883391,40.4210722,-410586,4499674,hästens,913
POINT (-3.6883794 40.4208629),Prima Travel,bag,,,,,,Calle de Serrano,2,28001,,,,-3.6883794,40.4208629,-410590,4499650,prima travel,913
POINT (-3.6884008 40.4207016),Guzmán,clothes,,,,,,Calle de Serrano,2,28001,,,,-3.6884008,40.4207016,-410593,4499633,guzmán,913
POINT (-3.6963578 40.4269665),Santa Bárbara,,library,,,,,,,,,,,-3.6963578,40.4269665,-411479,4500330,santa bárbara,1087
POINT (-3.7085987 40.4162532),Sushi Bar,,restaurant,,,,,Plaza del Comandante Las Morenas,5,28013,,,japanese,-3.7085987,40.4162532,-412841,4499137,sushi bar,1225
POINT (-3.6988622 40.4151754),El Rincón de Pangpang,,restaurant,,,,,Calle de Ventura de la Vega,19,28014,,,chinese,-3.6988622,40.4151754,-411757,4499017,el rincón de pangpang,1214
POINT (-3.7099996 40.4119524),Alma de Julián Becerro,butcher,,,,,,Calle de la Cava Baja,41,28005,,,,-3.7099996,40.4119524,-412997,4498659,alma de julián becerro,1179
POINT (-3.6954978 40.4219685),Panod,bakery,cafe,,,,,Calle de Prim,1,,,,,-3.6954978,40.4219685,-411383,4499774,panod,1183
POINT (-3.6969058 40.4260595),ECOALF,clothes,,,,,,,,,,,,-3.6969058,40.4260595,-411540,4500229,ecoalf,1087
POINT (-3.7084866 40.4158113),Mistura Ice Cream & Coffee,,cafe,,,,,Calle Ciudad Rodrigo,6,28012,,,ice_cream;tea;coffee_shop,-3.7084866,40.4158113,-412829,4499088,mistura ice cream & coffee,1225
POINT (-3.7247236 40.4433088),"Facultad de Enfermería, Fisioterapia y Podología",,,,,university,,,,,,,,-3.7247236,40.4433088,-414636,4502149,"facultad de enfermería, fisioterapia y podología",87
POINT (-3.7282589 40.4425373),Comedor,,restaurant,,,,,,,,,,,-3.7282589,40.4425373,-415030,4502063,comedor,87
