geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,hdbscan_5_5,hdbscan_5_5_merged,hdbscan_5_5_merged
POINT (-3.6957942 40.4141167),Taberna de la Daniela,,bar,,,,,Plaza de Jesús,7,28014,,,,-3.6957942,40.4141167,-1,-1,-1
POINT (-3.6955895 40.4137787),"Parafarmacia, herbolario",,pharmacy,,pharmacy,,,,,,,,,-3.6955895,40.4137787,1104,911,911
POINT (-3.6955887 40.4137161),Granja Blanca,,pub,,,,,,,,,,,-3.6955887,40.4137161,1104,911,911
POINT (-3.6958434 40.414563),La Taberna de Jose,,pub,,,,,,,,,,,-3.6958434,40.414563,-1,-1,-1
POINT (-3.6958024 40.4154544),The Westin Palace,,,hotel,,,,Plaza de las Cortes,7,28014,Westin,Westin,,-3.6958024,40.4154544,880,29,29
POINT (-3.6970951 40.4159605),BBVA,,bank,,,,,Plaza de las Cortes,11,28014,BBVA,BBVA,,-3.6970951,40.4159605,-1,-1,-1
POINT (-3.6970821 40.4157301),Hotel Villa Real 5,,,hotel,,,,Plaza de las Cortes,10,28014,,,,-3.6970821,40.4157301,-1,-1,-1
POINT (-3.6970294 40.4152683),Caixabank,,bank,,,,,,,,Caixabank,,,-3.6970294,40.4152683,-1,-1,-1
POINT (-3.6966322 40.4169233),Edelweiss,,restaurant,,,,,,,,,,,-3.6966322,40.4169233,1037,30,30
POINT (-3.6965924 40.4171806),El Secreto de Castilla,,restaurant,,,,,,,,,,,-3.6965924,40.4171806,-1,-1,-1
POINT (-3.6966034 40.4173325),Sagardi,,restaurant,,,,,Calle de Jovellanos,3,28014,,,,-3.6966034,40.4173325,-1,-1,-1
POINT (-3.6969322 40.4168278),Hostal Olga,,,hotel,,,,,,,,,,-3.6969322,40.4168278,1037,30,30
POINT (-3.6970761 40.4168278),Bar,,pub,,,,,,,,,,,-3.6970761,40.4168278,1037,30,30
POINT (-3.6971908 40.416822),Vegetariano,,restaurant,,,,,,,,,,,-3.6971908,40.416822,1037,30,30
POINT (-3.6973366 40.4168084),,,cafe,,,,,,,,,,,-3.6973366,40.4168084,1037,30,30
POINT (-3.6961976 40.4182418),,,cafe,,,,,,,,,,,-3.6961976,40.4182418,944,31,31
POINT (-3.6962744 40.4180464),Cine Estudio,,cinema,,,,,,,,,,,-3.6962744,40.4180464,944,31,31
POINT (-3.6926507 40.418646),,,taxi,,,,,Paseo del Prado,,,,Ayuntamiento de Madrid,,-3.6926507,40.418646,733,32,32
POINT (-3.6899043 40.4237276),Biblioteca Nacional de España,,library,,,,,Paseo de Recoletos,20-22,28071,,,,-3.6899043,40.4237276,-1,-1,-1
POINT (-3.7022852 40.4044125),La Feria del Mar,seafood,,,,,,,,,,,,-3.7022852,40.4044125,1047,902,902
POINT (-3.7022372 40.4043334),Fórmula Nieto's,,pub,,,,,,,,,,,-3.7022372,40.4043334,1047,902,902
POINT (-3.7021908 40.4042641),Carnicería,butcher,,,,,,,,,,,,-3.7021908,40.4042641,1047,902,902
POINT (-3.7019736 40.4039813),Movileo.com,mobile_phone,,,,,,,,,,,,-3.7019736,40.4039813,1047,902,902
POINT (-3.7016814 40.4036196),Gilmar,,,,,estate_agent,,,,,,,,-3.7016814,40.4036196,1047,902,902
POINT (-3.701651 40.4035317),Döner Kebab,,fast_food,,,,,,,,,,,-3.701651,40.4035317,-1,-1,-1
POINT (-3.7011902 40.4029771),Chinos - alimentación,convenience,,,,,,,,,,,,-3.7011902,40.4029771,-1,-1,-1
POINT (-3.701739 40.4049613),Banco Santander,,bank,,,,,Glorieta de Embajadores,3,28012,Banco Santander,Santander,,-3.701739,40.4049613,-1,-1,-1
POINT (-3.7019897 40.4046885),Granier,bakery,cafe,,,,,Calle de Embajadores,55,28012,Granier,,coffee_shop,-3.7019897,40.4046885,1047,902,902
POINT (-3.7018264 40.4044417),La Verde Doncella,greengrocer,,,,,,,,,,,,-3.7018264,40.4044417,1047,902,902
POINT (-3.7015443 40.4041266),Los chiquitos,,pub,,,,,,,,,,,-3.7015443,40.4041266,1047,902,902
POINT (-3.7014278 40.4039506),Bar Díaz,,pub,,,,,,,,,,,-3.7014278,40.4039506,1047,902,902
POINT (-3.7013673 40.4041585),Alimentación,convenience,,,,,,,,,,,,-3.7013673,40.4041585,1047,902,902
POINT (-3.7009208 40.4040925),Uskar,,restaurant,,,,,,,,,,regional,-3.7009208,40.4040925,-1,-1,-1
POINT (-3.7015311 40.4051443),Dia,supermarket,,,,,,,,,Dia,,,-3.7015311,40.4051443,1050,33,33
POINT (-3.7014847 40.4047549),A Cañada,,restaurant,,,,,,,,,,,-3.7014847,40.4047549,-1,-1,-1
POINT (-3.7012155 40.4036812),La Sirena,frozen_food,,,,,,Calle de Embajadores,67,28012,La Sirena,,,-3.7012155,40.4036812,1047,902,902
POINT (-3.7011116 40.4035399),Arrenda,,,,,estate_agent,,Calle de Embajadores,69,28012,,,,-3.7011116,40.4035399,-1,-1,-1
POINT (-3.7001622 40.4037836),El encuentro,,cafe,,,,,,,,,,,-3.7001622,40.4037836,-1,-1,-1
POINT (-3.7000905 40.403803),El Encuentro,,pub,,,,,,,,,,,-3.7000905,40.403803,-1,-1,-1
