geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Murcia_hdbscan_5_5
POINT (-1.2361538115063484 37.95872969985349),,,,,,,park,,,,,,,-1.2361538115063484,37.95872969985349,-137609,4225566,,-1
POINT (-1.1260329499999995 38.00165950000001),Centro Municipal Santiago y Zaraiche,,community_centre,,,,,,,,,,,-1.1260329499999995,38.00165950000001,-125350,4230345,centro municipal santiago y zaraiche,-1
POINT (-1.1252878586343775 38.022144417694484),,,,,,,park,,,,,,,-1.1252878586343775,38.022144417694484,-125267,4232625,,-1
POINT (-1.122794638867134 38.02340881775429),Jardín de la Constitución,,,,,,park,,,,,,,-1.122794638867134,38.02340881775429,-124989,4232766,jardín de la constitución,39
POINT (-1.1259212591988348 38.026817119443315),Parque Pedáneo Antonio Zomeño Valverde,,,,,,park,,,,,,,-1.1259212591988348,38.026817119443315,-125338,4233145,parque pedáneo antonio zomeño valverde,-1
POINT (-1.0324236089524386 38.01266854089422),,,,,,,park,,,,,,,-1.0324236089524386,38.01266854089422,-114929,4231570,,16
POINT (-1.0340970730655166 38.01273040397654),Instituto de Educación Secundaria Alquerías,,school,,,,,,,,,,,-1.0340970730655166,38.01273040397654,-115116,4231577,instituto de educación secundaria alquerías,16
POINT (-1.0347965 38.01266604999999),Pabellón de Deportes Miguel Cámara Botía,,,,,,sports_centre,,,,,,,-1.0347965,38.01266604999999,-115194,4231570,pabellón de deportes miguel cámara botía,16
POINT (-1.0332933499999999 38.0121937),,,school,,,,,,,,,,,-1.0332933499999999,38.0121937,-115026,4231517,,16
POINT (-1.0327923703476054 38.01244738594546),,,,,,,park,,,,,,,-1.0327923703476054,38.01244738594546,-114970,4231546,,16
POINT (-1.1290735170846549 37.976248389409584),Plaza Zarandona,,,,,,park,,,,,,,-1.1290735170846549,37.976248389409584,-125688,4227516,plaza zarandona,84
POINT (-1.2077506058763174 37.925924706808345),Jardín Centro Cultural,,,,,,park,,,,,,,-1.2077506058763174,37.925924706808345,-134447,4221914,jardín centro cultural,18
POINT (-1.2100378336089996 37.92926728970575),,,,,,,park,,,,,,,-1.2100378336089996,37.92926728970575,-134701,4222286,,18
POINT (-1.2078844143391008 37.92033103577533),,,,,,,park,,,,,,,-1.2078844143391008,37.92033103577533,-134462,4221291,,18
POINT (-1.2058871834520921 37.91779215201413),,,,,,,park,,,,,,,-1.2058871834520921,37.91779215201413,-134239,4221009,,18
POINT (-1.2030278149523435 37.91724117550756),,,,,,,park,,,,,,,-1.2030278149523435,37.91724117550756,-133921,4220947,,-1
POINT (-1.2135485671805157 37.93239207500846),Colegio de Educación Infantil y Primaria Antonio Delgado Dorrego,,school,,,,,,,,,,,-1.2135485671805157,37.93239207500846,-135092,4222634,colegio de educación infantil y primaria antonio delgado dorrego,18
POINT (-1.2070624899794886 37.92051025163982),La Santa Cruz,,school,,,,,,,,,,,-1.2070624899794886,37.92051025163982,-134370,4221311,la santa cruz,18
POINT (-1.202882478852987 37.93081817259128),Nuestra Señora de los Ángeles,,school,,,,,,,,,,,-1.202882478852987,37.93081817259128,-133905,4222459,nuestra señora de los ángeles,18
POINT (-1.206058746167697 37.9284555129611),Colegio de Educación Infantil y Primaria Rafael Nicolás Raya,,school,,,,,,,,,,,-1.206058746167697,37.9284555129611,-134258,4222196,colegio de educación infantil y primaria rafael nicolás raya,18
POINT (-1.2121018992447146 37.930448261836304),,,school,,,,,,,,,,,-1.2121018992447146,37.930448261836304,-134931,4222418,,18
POINT (-1.212315585929007 37.930701781181135),Biblioteca Sangonera la Verde,,library,,,,,,,,,Red Municipal de Bibliotecas de Murcia,,-1.212315585929007,37.930701781181135,-134955,4222446,biblioteca sangonera la verde,18
POINT (-1.2076075906253743 37.92598891616793),,,theatre,,,,,,,,,,,-1.2076075906253743,37.92598891616793,-134431,4221921,,18
POINT (-1.0627375459260024 37.97463651059864),,,,,,,park,,,,,,,-1.0627375459260024,37.97463651059864,-118304,4227337,,21
POINT (-1.1084631418246278 37.99581784352505),Discoteca Metropol,,bar,,,,,,,,,,,-1.1084631418246278,37.99581784352505,-123394,4229694,discoteca metropol,-1
POINT (-1.15155067626749 37.988424391916595),Consultorio Médico La Albatalía-La Arboleja,,clinic,,clinic,,,,,,,,,-1.15155067626749,37.988424391916595,-128191,4228871,consultorio médico la albatalía-la arboleja,26
POINT (-1.0943385666666665 38.04416716666667),,,,,,,park,,,,,,,-1.0943385666666665,38.04416716666667,-121822,4235077,,12
POINT (-1.1409844063315169 37.94347966275748),Colegio de Educación Infantil y Primaria El Molinico,,school,,,,,Huertos,12,30150.0,,,,-1.1409844063315169,37.94347966275748,-127014,4223868,colegio de educación infantil y primaria el molinico,51
POINT (-1.1192011528031138 37.96409750599237),Las Ranas,,,,,,park,,,,,,,-1.1192011528031138,37.96409750599237,-124589,4226163,las ranas,50
POINT (-1.1468773503388667 38.02875632340213),,,,,,,park,,,,,,,-1.1468773503388667,38.02875632340213,-127670,4233361,,36
POINT (-1.14722215990576 38.02732151460558),,,,,,,park,,,,,,,-1.14722215990576,38.02732151460558,-127709,4233201,,-1
POINT (-1.1462680601048567 38.02897980972916),,,,,,,park,,,,,,,-1.1462680601048567,38.02897980972916,-127603,4233386,,36
POINT (-1.1490618063002183 38.0289614456114),,,,,,,park,,,,,,,-1.1490618063002183,38.0289614456114,-127914,4233384,,-1
POINT (-1.1394646700761275 38.02151677328525),Herrero y López,car,,,,,,,,,Renault Dacia,,,-1.1394646700761275,38.02151677328525,-126845,4232555,herrero y lópez,41
POINT (-1.1322068856641527 37.981036818386706),Plaza Fundadora Santa María Josefa,,,,,,park,,,,,,,-1.1322068856641527,37.981036818386706,-126037,4228049,plaza fundadora santa maría josefa,-1
POINT (-1.1427172660367366 38.024258690187416),KFC,,fast_food,,,,,,,,KFC,KFC,chicken,-1.1427172660367366,38.024258690187416,-127207,4232860,kfc,-1
POINT (-1.10211703202869 38.01373732190333),La Verdad,,,,,newspaper,,,,,,,,-1.10211703202869,38.01373732190333,-122688,4231689,la verdad,57
POINT (-1.1604029845561132 37.933066867421765),,,bar,,,,,,,,,,,-1.1604029845561132,37.933066867421765,-129176,4222709,,-1
POINT (-1.1560472565387014 37.94161002565486),Colegio de Educación Infantil y Primaria Escuelas Nuevas,,school,,,,,,,,,,,-1.1560472565387014,37.94161002565486,-128691,4223660,colegio de educación infantil y primaria escuelas nuevas,-1
POINT (-1.1215162639266232 37.97835536056518),Colegio de Educación Infantil y Primaria Mariano Aroca López,,school,,,,,Calle del Sauce,13,30011.0,,,,-1.1215162639266232,37.97835536056518,-124847,4227751,colegio de educación infantil y primaria mariano aroca lópez,-1
POINT (-1.1265086643183437 38.02686549454873),Centro de Salud Cabezo de Torres,,clinic,,clinic,,,,,,,,,-1.1265086643183437,38.02686549454873,-125403,4233151,centro de salud cabezo de torres,-1
POINT (-1.123511193429504 38.03085753540259),Instituto de Educación Secundaria Rector Francisco Sabater,,school,,,,,,,,,,,-1.123511193429504,38.03085753540259,-125069,4233595,instituto de educación secundaria rector francisco sabater,-1
POINT (-1.1238287451291835 38.03196205551422),Centro deportivo Cabezo de Torres,,,,,,sports_centre,,,,,,,-1.1238287451291835,38.03196205551422,-125105,4233718,centro deportivo cabezo de torres,-1
POINT (-1.1842165573031427 37.99090281570041),Facultad de Medicina UCAM,,university,,,,,,,,,,,-1.1842165573031427,37.99090281570041,-131827,4229147,facultad de medicina ucam,35
POINT (-1.184139062429972 37.992392600575215),Aulario 2 UCAM,,university,,,,,,,,,,,-1.184139062429972,37.992392600575215,-131818,4229313,aulario 2 ucam,35
POINT (-1.1844906522698118 37.99236436043721),Restaurante Universitário,,restaurant,,,,,,,,,,,-1.1844906522698118,37.99236436043721,-131857,4229310,restaurante universitário,35
POINT (-1.137484882284716 37.99637735215258),Colegio de Educación Infantil y Primaria Santa María de Gracia,,school,,,,,,,,,,,-1.137484882284716,37.99637735215258,-126625,4229757,colegio de educación infantil y primaria santa maría de gracia,-1
POINT (-1.0879143884157931 37.72612968592958),Lobosillo Garden,,cafe,,,,,,,,,,,-1.0879143884157931,37.72612968592958,-121107,4199673,lobosillo garden,0
POINT (-1.13148439625675 37.96468333154302),Más Que Pádel,,,,,,sports_centre,,,,,,,-1.13148439625675,37.96468333154302,-125957,4226229,más que pádel,44
POINT (-1.1411608256724086 37.98685020361616),Centro de Salud Murcia-San Andrés,,clinic,,,,,Calle del Escultor José Sánchez Lozano,7,30005.0,,,,-1.1411608256724086,37.98685020361616,-127034,4228696,centro de salud murcia-san andrés,77
POINT (-1.141054380167172 37.98644079005016),Centro de Especialidades Dr. Quesada Sanz,,clinic,,,,,Calle del Doctor Jesús Quesada Sanz,,30005.0,,,,-1.141054380167172,37.98644079005016,-127022,4228651,centro de especialidades dr. quesada sanz,77
POINT (-1.140278673910756 37.98450102618927),Colegio de Educación Infantil y Primaria San Andrés,,school,,,,,Calle de los Bolos,15,30005.0,,,,-1.140278673910756,37.98450102618927,-126936,4228435,colegio de educación infantil y primaria san andrés,-1
