geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Zaragoza_hdbscan_5_5
POINT (-0.9113476 41.6425353),Uniformes y Complementos,clothes,,,,,,,,,,,,-0.9113476,41.6425353,-101451,4635647,uniformes y complementos,134
POINT (-0.9115588 41.6425724),Finca Hogar,,,,,estate_agent,,,,,,,,-0.9115588,41.6425724,-101475,4635651,finca hogar,134
POINT (-0.8924269 41.6439473),Mar Complementos,gift,,,,,,Paseo de Fernando El Católico,4,,,,,-0.8924269,41.6439473,-99345,4635804,mar complementos,296
POINT (-0.8925023 41.6438687),BGB Shop,clothes,,,,,,Paseo de Fernando El Católico,6,,,,,-0.8925023,41.6438687,-99353,4635795,bgb shop,296
POINT (-0.8925539 41.6438183),By Frida,clothes,,,,,,Paseo de Fernando El Católico,6,,,,,-0.8925539,41.6438183,-99359,4635790,by frida,296
POINT (-0.8926248 41.6437444),River Antiques,antiques,,,,,,Paseo de Fernando El Católico,6,,,,,-0.8926248,41.6437444,-99367,4635782,river antiques,296
POINT (-0.8926452 41.6437223),Nora,clothes,,,,,,Paseo de Fernando El Católico,8,,,,,-0.8926452,41.6437223,-99369,4635779,nora,296
POINT (-0.8935412 41.642754),Luna de Istanbul,,restaurant,,,,,Paseo de Fernando El Católico,20,,,,turkish;kebab,-0.8935412,41.642754,-99469,4635671,luna de istanbul,-1
POINT (-0.8946966 41.642117),Salain,gift,,,,,,,,,,,,-0.8946966,41.642117,-99598,4635600,salain,227
POINT (-0.8948599 41.6420296),Bocadicos,,restaurant,,,,,Calle Baltasar Gracián,27,,,,,-0.8948599,41.6420296,-99616,4635591,bocadicos,227
POINT (-0.8949523 41.6419283),La Ruta de la Seda,clothes,,,,,,Calle Baltasar Gracián,29,,,,,-0.8949523,41.6419283,-99626,4635579,la ruta de la seda,227
POINT (-0.8960903 41.6410513),Swift English School,,school,,,,,Plaza de San Francisco,13,,,,,-0.8960903,41.6410513,-99753,4635482,swift english school,-1
POINT (-0.896294 41.6408171),BeerHouse Tavern,,cafe,,,,,Calle Arzobispo Apaolaza,2,,,,,-0.896294,41.6408171,-99775,4635456,beerhouse tavern,-1
POINT (-0.8961442 41.6407095),Ciber Battle,computer,,,,,,Calle Arzobispo Apaolaza,3,,,,,-0.8961442,41.6407095,-99759,4635444,ciber battle,-1
POINT (-0.8915269 41.6417519),Instituto Microquirúrgico de Aragón,,clinic,,clinic,,,Calle Arzobispo Apaolaza,4,,,,,-0.8915269,41.6417519,-99245,4635560,instituto microquirúrgico de aragón,-1
POINT (-0.8963275 41.64053),Luxor,,bar,,,,,Calle Arzobispo Apaolaza,7,,,,,-0.8963275,41.64053,-99779,4635424,luxor,-1
POINT (-0.89654 41.6402987),La Recámara,,fast_food,,,,,Calle Andrés Giménez Soler,5,,,,sandwich,-0.89654,41.6402987,-99803,4635398,la recámara,230
POINT (-0.8966045 41.6401851),A Tu Estilo,hairdresser,,,,,,Calle Arzobispo Apaolaza,11,,,,,-0.8966045,41.6401851,-99810,4635385,a tu estilo,230
POINT (-0.8968141 41.6401917),Kokoro Zaragoza,,bar,,,,,Calle Arzobispo Apaolaza,8,,,,,-0.8968141,41.6401917,-99833,4635386,kokoro zaragoza,230
POINT (-0.8967078 41.6401088),Koro Neko,tattoo,,,,,,Calle Arzobispo Apaolaza,11,,,,,-0.8967078,41.6401088,-99822,4635377,koro neko,230
POINT (-0.8967386 41.6400639),Talleres Dummy Cars,car_repair,,,,,,Calle Arzobispo Apaolaza,11,,,,,-0.8967386,41.6400639,-99825,4635372,talleres dummy cars,230
POINT (-0.8970436 41.6399488),Superguau,pet,,,,,,Calle Arzobispo Apaolaza,12,,,,,-0.8970436,41.6399488,-99859,4635359,superguau,230
POINT (-0.8968695 41.6399258),Talleres Dummy Cars,car_repair,,,,,,Calle Arzobispo Apaolaza,13,,,,,-0.8968695,41.6399258,-99840,4635357,talleres dummy cars,230
POINT (-0.8969358 41.6398475),Electrónica Certe,electronics,,,,,,Calle Arzobispo Apaolaza,15,,,,,-0.8969358,41.6398475,-99847,4635348,electrónica certe,230
POINT (-0.8970944 41.6396761),Patchwork Babel,clothes,,,,,,Calle Arzobispo Apaolaza,19,,,,,-0.8970944,41.6396761,-99865,4635329,patchwork babel,229
POINT (-0.8973115 41.6396461),Ingeniería Inasic,,,,,company,,Calle Arzobispo Apaolaza,22,,,,,-0.8973115,41.6396461,-99889,4635325,ingeniería inasic,-1
POINT (-0.897176 41.6395748),Dia,supermarket,,,,,,Calle Arzobispo Apaolaza,21,,Dia,,,-0.897176,41.6395748,-99874,4635317,dia,-1
POINT (-0.8972792 41.6394747),La Viña,,cafe,,,,,Calle Arzobispo Apaolaza,23,,,,,-0.8972792,41.6394747,-99885,4635306,la viña,229
POINT (-0.8973916 41.6393469),Estilistas D'Luxa,hairdresser,,,,,,Calle de Serrano Sanz,8,,,,,-0.8973916,41.6393469,-99898,4635292,estilistas d'luxa,229
POINT (-0.8972592 41.6390108),Viena Audio,electronics,,,,,,Calle de Serrano Sanz,3,,,,,-0.8972592,41.6390108,-99883,4635255,viena audio,229
POINT (-0.8971467 41.6391409),Decorate,clothes,,,,,,Calle de Serrano Sanz,6,,,,,-0.8971467,41.6391409,-99870,4635269,decorate,229
POINT (-0.8972037 41.6391662),Estética Natalia Petrik,hairdresser,,,,,,Calle de Serrano Sanz,6,,,,,-0.8972037,41.6391662,-99877,4635272,estética natalia petrik,229
POINT (-0.8972515 41.639203),El Paladar,,cafe,,,,,Calle de Serrano Sanz,6,,,,,-0.8972515,41.639203,-99882,4635276,el paladar,229
POINT (-0.8974794 41.6391133),La Farola,,cafe,,,,,Calle de Serrano Sanz,5,,,,,-0.8974794,41.6391133,-99907,4635266,la farola,-1
POINT (-0.8977827 41.6389165),Limpiezas Alastuey,,,,,company,,Calle Arzobispo Apaolaza,31,,,,,-0.8977827,41.6389165,-99941,4635244,limpiezas alastuey,-1
POINT (-0.8934488 41.6428674),Con Rasmia,,cafe,,,,,Paseo de Fernando El Católico,18,,,,,-0.8934488,41.6428674,-99459,4635684,con rasmia,-1
POINT (-0.8936038 41.6427057),Eva Domínguez,hairdresser,,,,,,Paseo de Fernando El Católico,20,,,,,-0.8936038,41.6427057,-99476,4635666,eva domínguez,-1
POINT (-0.8947846 41.6416352),Bake & Take,deli,,,,,,Plaza de San Francisco,18,50006.0,,,,-0.8947846,41.6416352,-99607,4635547,bake & take,227
POINT (-0.8956189 41.6404954),Estanco 58,tobacco,,,,,,Paseo de Fernando El Católico,36,,,,,-0.8956189,41.6404954,-99700,4635420,estanco 58,225
POINT (-0.8958294 41.6402799),La Almolda,bakery,,,,,,Paseo de Fernando El Católico,40,,,,,-0.8958294,41.6402799,-99724,4635396,la almolda,225
