geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Cordoba_hdbscan_5_5
POINT (-4.7783624 37.8838454),Punto de servicio Endesa,,,,,company,,,,,,,,-4.7783624,37.8838454,-531927,4217230,punto de servicio endesa,-1
POINT (-4.7787491 37.8839661),Loterías y Apuestas del Estado - Delegación Comercial,,,,,government,,,,,,,,-4.7787491,37.8839661,-531970,4217243,loterías y apuestas del estado - delegación comercial,90
POINT (-4.7788088 37.8839987),Bazar,variety_store,,,,,,,,,,,,-4.7788088,37.8839987,-531977,4217247,bazar,90
POINT (-4.7795373 37.8832837),Pensión Internacional,,,guest_house,,,,,,,,,,-4.7795373,37.8832837,-532058,4217167,pensión internacional,89
POINT (-4.7798479 37.8841917),Farmacia del Correo,,pharmacy,,,,,,,,,,,-4.7798479,37.8841917,-532093,4217268,farmacia del correo,94
POINT (-4.7788689 37.8838374),Piedra,supermarket,,,,,,,,,,,,-4.7788689,37.8838374,-531984,4217229,piedra,-1
POINT (-4.7728812 37.8861717),,,atm,,,,,,,,CajaSur,CajaSur,,-4.7728812,37.8861717,-531317,4217489,,-1
POINT (-4.7792447 37.8847861),,mobile_phone,,,,,,,,,,Movistar,,-4.7792447,37.8847861,-532026,4217334,,95
POINT (-4.7796465 37.8847978),,,bank,,,,,,,,Sabadell,,,-4.7796465,37.8847978,-532070,4217336,,95
POINT (-4.7794058 37.8850517),La Plata,hairdresser,,,,,,,,,,,,-4.7794058,37.8850517,-532043,4217364,la plata,95
POINT (-4.7793429 37.8851152),Mercado de la Plata,,pub,,,,,,,,,,,-4.7793429,37.8851152,-532036,4217371,mercado de la plata,95
POINT (-4.7792362 37.8851101),Pizzeria del Poble,,restaurant,,,,,,,,,,pizza,-4.7792362,37.8851101,-532025,4217370,pizzeria del poble,95
POINT (-4.7757511 37.8920342),Caixabank,,bank,,,,,,,,Caixabank,,,-4.7757511,37.8920342,-531637,4218141,caixabank,-1
POINT (-4.7700907 37.8933983),La Muralla,hardware,,,,,,,,,,,,-4.7700907,37.8933983,-531006,4218293,la muralla,-1
POINT (-4.7723839 37.892555),Pizzarelli Trattoria,,restaurant,,,,,,,,,,pizza,-4.7723839,37.892555,-531262,4218199,pizzarelli trattoria,-1
POINT (-4.7726319 37.8887148),Farmacia Catalina Cabello Reyes,,pharmacy,,pharmacy,,,,,,,,,-4.7726319,37.8887148,-531289,4217772,farmacia catalina cabello reyes,49
POINT (-4.7738428 37.8920101),Kebab Mahal,,fast_food,,,,,,,,,,kebab,-4.7738428,37.8920101,-531424,4218139,kebab mahal,-1
POINT (-4.7710592 37.8930358),Farmacia Ollerías 45,,pharmacy,,pharmacy,,,,,,,,,-4.7710592,37.8930358,-531114,4218253,farmacia ollerías 45,-1
POINT (-4.7794609 37.8857099),Taberna Échate pá llá,,pub,,,,,,,,,,,-4.7794609,37.8857099,-532050,4217437,taberna échate pá llá,95
POINT (-4.7795155 37.8857248),San Miguel,jewelry,,,,,,,,,,,,-4.7795155,37.8857248,-532056,4217439,san miguel,95
POINT (-4.7802001 37.884226),Boston,,,hotel,,,,,,,,,,-4.7802001,37.884226,-532132,4217272,boston,94
POINT (-4.7850932 37.8752979),Taberna La Viuda,,pub,,,,,,,,,,,-4.7850932,37.8752979,-532677,4216278,taberna la viuda,-1
POINT (-4.7849726 37.8754063),Asociación de Amigos de los Patios Cordobeses,,,,,association,,,,,,,,-4.7849726,37.8754063,-532663,4216290,asociación de amigos de los patios cordobeses,-1
POINT (-4.7691561 37.8881714),Pastelería Hidalgo,pastry,,,,,,,,,,,,-4.7691561,37.8881714,-530902,4217711,pastelería hidalgo,45
POINT (-4.7689046 37.8882898),El Pórtico de San Lorenzo,,pub,,,,,,,,,,,-4.7689046,37.8882898,-530874,4217724,el pórtico de san lorenzo,45
POINT (-4.7807604 37.8804074),,convenience,,,,,,,,,,,,-4.7807604,37.8804074,-532194,4216847,,86
POINT (-4.7808462 37.8803419),Séneca Hostel,,,guest_house,,,,,,,,,,-4.7808462,37.8803419,-532204,4216840,séneca hostel,86
POINT (-4.7807249 37.8799851),El Caballo Rojo,,restaurant,,,,,,,,,,,-4.7807249,37.8799851,-532190,4216800,el caballo rojo,86
POINT (-4.7806531 37.8800552),El Burlaero,,restaurant,,,,,,,,,,,-4.7806531,37.8800552,-532182,4216808,el burlaero,86
POINT (-4.7811124 37.879733),Tabacos,tobacco,,,,,,,,,,,,-4.7811124,37.879733,-532233,4216772,tabacos,86
POINT (-4.780226 37.8798441),Hotel Los Patios,,,hotel,,,,,,,,,,-4.780226,37.8798441,-532135,4216784,hotel los patios,86
