geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Malaga_hdbscan_5_5
POINT (-4.467799137537893 36.731423751700156),Dia,supermarket,,,,,,Avenida Lope de Vega,8,,Dia,,,-4.467799137537893,36.731423751700156,-497355,4088942,dia,40
POINT (-4.492564435113514 36.704371373252386),Colegio de Educación Infantil y Primaria Intelhorce,,school,,,,,Calle José María Jacquard,18,29004.0,,,,-4.492564435113514,36.704371373252386,-500112,4085931,colegio de educación infantil y primaria intelhorce,29
POINT (-4.422547621012595 36.74258429890582),Clínica Veterinaria Los Montes,,veterinary,,,,,Calle Emilio Thuillier,3,29014.0,,,,-4.422547621012595,36.74258429890582,-492318,4090184,clínica veterinaria los montes,103
POINT (-4.450836455993545 36.731979629301705),,,,,,,park,,,,,,,-4.450836455993545,36.731979629301705,-495467,4089004,,85
POINT (-4.450280063292629 36.73190531988927),,,,,,,park,,,,,,,-4.450280063292629,36.73190531988927,-495405,4088996,,85
POINT (-4.446266882645374 36.72378208536656),Club Deportivo La Unidad,,,,,,sports_centre,,,,,,,-4.446266882645374,36.72378208536656,-494958,4088091,club deportivo la unidad,-1
POINT (-4.411175445171726 36.721320858263404),Hotel Eliseos,,,hotel,,,,Callejón de la Fuerza,5,29016.0,,,,-4.411175445171726,36.721320858263404,-491052,4087817,hotel eliseos,-1
POINT (-4.449856011304348 36.73109928550724),,kiosk,,,,,,,,,,,,-4.449856011304348,36.73109928550724,-495358,4088906,,85
POINT (-4.4460678904466375 36.6972248198817),Centro de Salud Las Delicias,,clinic,,clinic,,,Calle Frigiliana,21,29003.0,,Servicio Andaluz de Salud,,-4.4460678904466375,36.6972248198817,-494936,4085135,centro de salud las delicias,97
POINT (-4.4895588874858765 36.7095257468565),,,,,,,park,,,,,,,-4.4895588874858765,36.7095257468565,-499778,4086504,,29
POINT (-4.489183607230372 36.70986132766457),Hogar de Jubilados y Pensionistas,,community_centre,,,,,Calle José Manuel Pérez Estrada,13,29006.0,,,,-4.489183607230372,36.70986132766457,-499736,4086542,hogar de jubilados y pensionistas,-1
POINT (-4.4893430217542285 36.70921551681441),Colegio de Educación Infantil y Primaria Pablo Neruda,,school,,,,,Calle José Manuel Pérez Estrada,9,29006.0,,,,-4.4893430217542285,36.70921551681441,-499754,4086470,colegio de educación infantil y primaria pablo neruda,29
POINT (-4.450421996199843 36.7123283953889),Instituto de Educación Secundaria Salvador Rueda,,school,,,,,Calle Corregidor Antonio de Bobadilla,13,29006.0,,,,-4.450421996199843,36.7123283953889,-495421,4086816,instituto de educación secundaria salvador rueda,-1
POINT (-4.440008217627304 36.73005595533219),,,,,,,park,,,,,,,-4.440008217627304,36.73005595533219,-494262,4088790,,90
POINT (-4.319265774000293 36.77203526005952),Colegio de Educación Infantil y Primaria La Cañada,,school,,,,,Calle Monte Bajo,,29197.0,,,,-4.319265774000293,36.77203526005952,-480821,4093463,colegio de educación infantil y primaria la cañada,0
POINT (-4.320459467838214 36.7705524834275),Consultorio Olías,,doctors,,doctor,,,Calle Olías,10,29015.0,,Servicio Andaluz de Salud,,-4.320459467838214,36.7705524834275,-480954,4093298,consultorio olías,0
POINT (-4.4814819823688845 36.722875629935416),Parque Sófocles,,,,,,park,,,,,,,-4.4814819823688845,36.722875629935416,-498879,4087991,parque sófocles,48
POINT (-4.480615179131255 36.72296864101194),Vals Sport Cónsul,,,,,,sports_centre,Calle Sófocles,13,29010.0,,,,-4.480615179131255,36.72296864101194,-498782,4088001,vals sport cónsul,48
POINT (-4.480515545373024 36.72556049931097),Colegio de Educación Infantil y Primaria Pintor Félix Revello de Toro,,school,,,,,Calle Navarro Ledesma,168,29010.0,,,,-4.480515545373024,36.72556049931097,-498771,4088289,colegio de educación infantil y primaria pintor félix revello de toro,48
POINT (-4.481500536506172 36.72559939534545),Instituto de Educación Secundario Torre Atalaya,,school,,,,,Calle Navarro Ledesma,170,29010.0,,,,-4.481500536506172,36.72559939534545,-498881,4088294,instituto de educación secundario torre atalaya,-1
POINT (-4.489232151666251 36.72312967360127),,,,,,,park,,,,,,,-4.489232151666251,36.72312967360127,-499741,4088019,,-1
POINT (-4.4850248347097015 36.720807604743094),,,,,,,park,,,,,,,-4.4850248347097015,36.720807604743094,-499273,4087760,,-1
POINT (-4.494241993965324 36.73956545663397),,,,,,,park,,,,,,,-4.494241993965324,36.73956545663397,-500299,4089848,,17
POINT (-4.473425733391711 36.7296261801206),Colegio de Educación Infantil y Primaria Ghandi,,school,,,,,Calle Juan de Ortega,13,29190.0,,,,-4.473425733391711,36.7296261801206,-497982,4088742,colegio de educación infantil y primaria ghandi,-1
POINT (-4.473964063070696 36.728946050036264),,,,,,,park,,,,,,,-4.473964063070696,36.728946050036264,-498042,4088666,,-1
POINT (-4.438583503330572 36.710537689939855),Centro de Salud Cruz del Humilladero,,clinic,,clinic,,,Calle Reboul,,29002.0,,Servicio Andaluz de Salud,,-4.438583503330572,36.710537689939855,-494103,4086617,centro de salud cruz del humilladero,-1
