geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,madrid_hdbscan_5_5
POINT (-3.6337206 40.4388924),,cosmetics,,,,,,,,,,,,-3.6337206,40.4388924,-404506,4501658,,458
POINT (-3.6336426 40.4389131),,greengrocer,,,,,,,,,,,,-3.6336426,40.4389131,-404497,4501660,,458
POINT (-3.6334154 40.439322),,car,,,,,,,,,,,,-3.6334154,40.439322,-404472,4501705,,458
POINT (-3.6338911 40.4388397),,clothes,,,,,,,,,,,,-3.6338911,40.4388397,-404525,4501652,,458
POINT (-3.6358137 40.4383269),Ángel Rubio,jewelry,,,,,,,,,,,,-3.6358137,40.4383269,-404739,4501595,ángel rubio,458
POINT (-3.6348393 40.438588),Vitaldent,,dentist,,dentist,,,,,,Vitaldent,,,-3.6348393,40.438588,-404630,4501624,vitaldent,458
POINT (-3.6346033 40.4386556),Zapatos F-V,shoes,,,,,,,,,,,,-3.6346033,40.4386556,-404604,4501631,zapatos f-v,458
POINT (-3.6343873 40.438711),,travel_agency,,,,,,,,,,,,-3.6343873,40.438711,-404580,4501637,,458
POINT (-3.7158459 40.431566),Tres Bocas,,restaurant,,,,,Calle de Gaztambide,11,28015,,,,-3.7158459,40.431566,-413648,4500842,tres bocas,1002
POINT (-3.7156142 40.4316424),Casa Marco,,restaurant,,,,,Calle de Gaztambide,8,28015,,,italian,-3.7156142,40.4316424,-413622,4500850,casa marco,1002
POINT (-3.715907 40.4309865),Crustó,bakery,cafe,,,,,Calle de Gaztambide,3,28015,,,,-3.715907,40.4309865,-413655,4500777,crustó,1001
POINT (-3.7159813 40.4315346),Hostal Pensión Los Andes,,,guest_house,,,,Calle de Gaztambide,11,28015,,,,-3.7159813,40.4315346,-413663,4500838,hostal pensión los andes,1002
POINT (-3.7161666 40.4307755),Zara,clothes,,,,,,Calle de la Princesa,58,28008,Zara,,,-3.7161666,40.4307755,-413684,4500754,zara,1001
POINT (-3.7162922 40.4309542),,vacant,,,,,,Calle de la Princesa,60,28008,,,,-3.7162922,40.4309542,-413698,4500774,,1001
POINT (-3.7163248 40.4309958),Extensión,hairdresser,,,,,,Calle de la Princesa,60,28008,,,,-3.7163248,40.4309958,-413701,4500778,extensión,1001
POINT (-3.7163412 40.4310196),Móvil Shop,mobile_phone,,,,,,Calle de la Princesa,60,28008,,,,-3.7163412,40.4310196,-413703,4500781,móvil shop,1001
POINT (-3.7163976 40.4311016),Irene Laya,shoes,,,,,,Calle de la Princesa,62,28008,,,,-3.7163976,40.4311016,-413709,4500790,irene laya,1001
POINT (-3.7165898 40.4313364),,newsagent,,,,,,Calle de la Princesa,,28008,,,,-3.7165898,40.4313364,-413731,4500816,,1001
POINT (-3.7166034 40.4313851),Mango,clothes,,,,,,Calle de la Princesa,68,28008,Mango,,,-3.7166034,40.4313851,-413732,4500822,mango,1001
POINT (-3.7167587 40.4315988),Mit Mat Mamá,clothes,,,,,,Calle de la Princesa,70,28008,,,,-3.7167587,40.4315988,-413750,4500846,mit mat mamá,1001
POINT (-3.7167961 40.4316577),Calzados Iris,shoes,,,,,,Calle de la Princesa,70,28008,,,,-3.7167961,40.4316577,-413754,4500852,calzados iris,1001
POINT (-3.7167926 40.4317882),Pereira,jewelry,,,,,,Calle de la Princesa,70,28008,,,,-3.7167926,40.4317882,-413753,4500867,pereira,1001
POINT (-3.7167719 40.4318484),La Esmeralda,,cafe,,,,,Calle de la Princesa,70,28008,,,,-3.7167719,40.4318484,-413751,4500873,la esmeralda,1001
POINT (-3.7165733 40.4307598),L'Occitane en Provence,perfumery,,,,,,Calle de la Princesa,55,28008,,,,-3.7165733,40.4307598,-413729,4500752,l'occitane en provence,1001
POINT (-3.7177809 40.4324337),Distrito Burger,,fast_food,,,,,Calle de la Princesa,79,28008,,,,-3.7177809,40.4324337,-413863,4500939,distrito burger,1001
POINT (-3.7178227 40.4324751),Aural - Centros auditivos profesionales,hearing_aids,,,,,,Calle de la Princesa,81,28008,,,,-3.7178227,40.4324751,-413868,4500943,aural - centros auditivos profesionales,1001
POINT (-3.7178743 40.4325536),Humana,clothes,,,,,,Calle de la Princesa,81,28008,Humana,,,-3.7178743,40.4325536,-413874,4500952,humana,1001
POINT (-3.7077647 40.4761402),Pablo,butcher,,,,,,,,,,,,-3.7077647,40.4761402,-412748,4505804,pablo,482
POINT (-3.7180002 40.4322225),Waraku,,restaurant,,,,,Calle de Benito Gutiérrez,4,28008,,,asian,-3.7180002,40.4322225,-413888,4500915,waraku,1001
POINT (-3.7047584 40.4111007),Hostal Daniel,,,guest_house,,,,Calle del Mesón de Paredes,13,28012,,,,-3.7047584,40.4111007,-412414,4498564,hostal daniel,1153
POINT (-3.7106282 40.4824107),Darma,optician,,,,,,,,,,,,-3.7106282,40.4824107,-413067,4506502,darma,419
POINT (-3.7112624 40.4822143),Banco Sabadell,,bank,,,,,,,,Banco Sabadell,,,-3.7112624,40.4822143,-413138,4506480,banco sabadell,419
POINT (-3.7109654 40.4822939),Josther,hairdresser,,,,,,,,,,,,-3.7109654,40.4822939,-413105,4506489,josther,419
POINT (-3.7108649 40.4823687),Carlin,stationery,,,,,,,,,Carlin,,,-3.7108649,40.4823687,-413093,4506497,carlin,419
POINT (-3.7141585 40.4734559),Extremeño,,pub,,,,,,,,,,,-3.7141585,40.4734559,-413460,4505505,extremeño,453
POINT (-3.7138632 40.4731584),,convenience,,,,,,,,,,,,-3.7138632,40.4731584,-413427,4505472,,453
POINT (-3.7080876 40.4760702),Low Cost,hairdresser,,,,,,,,,,,,-3.7080876,40.4760702,-412784,4505796,low cost,482
POINT (-3.7142547 40.473436),Limpiezas Paloma,,,,,company,,,,,,,,-3.7142547,40.473436,-413471,4505503,limpiezas paloma,453
POINT (-3.7161812 40.4302271),Amichi,clothes,,,,,,,,,,,,-3.7161812,40.4302271,-413685,4500693,amichi,1001
POINT (-3.7163345 40.4304296),Vodafone,mobile_phone,,,,,,,,,Vodafone,,,-3.7163345,40.4304296,-413702,4500715,vodafone,1001
POINT (-3.7162742 40.4303457),JUNK,,fast_food,,,,,Calle de la Princesa,51,28008,,,burger,-3.7162742,40.4303457,-413696,4500706,junk,1001
POINT (-3.6906094 40.4468042),,,post_box,,,,,,,,,,,-3.6906094,40.4468042,-410839,4502538,,579
POINT (-3.7048404 40.4114107),La Colada,laundry,,,,,,,,,,,,-3.7048404,40.4114107,-412423,4498598,la colada,1153
POINT (-3.7177135 40.4329505),,vacant,,,,,,Calle de la Princesa,84,28008,,,,-3.7177135,40.4329505,-413856,4500996,,1001
POINT (-3.6366443 40.4378974),Koldovinia Taberna,,restaurant,,,,,Calle Apolo,2,28037,,,spanish,-3.6366443,40.4378974,-404831,4501547,koldovinia taberna,458
POINT (-3.6372142 40.4377393),Koldovinia Taberna,,restaurant,,,,,Calle Apolo,2,28037,,,spanish,-3.6372142,40.4377393,-404895,4501529,koldovinia taberna,458
POINT (-3.7041437 40.4744648),,kiosk,,,,,,Avenida de El Ferrol,8,28029,,,,-3.7041437,40.4744648,-412345,4505617,,433
POINT (-3.7044173 40.4745125),Óscar,convenience,,,,,,Avenida de El Ferrol,8,28029,,,,-3.7044173,40.4745125,-412376,4505623,óscar,433
POINT (-3.7045018 40.474483),Tomé,butcher,,,,,,Avenida de El Ferrol,8,28029,,,,-3.7045018,40.474483,-412385,4505619,tomé,433
POINT (-3.7043149 40.4745281),Marta,dry_cleaning,,,,,,Avenida de El Ferrol,8,28029,,,,-3.7043149,40.4745281,-412364,4505624,marta,433
